test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0945,945,train_0948,948,0.0051375627517700195,0.07167679071426392,0.9928425550460815,train_0945,945,0.9952187538146973,0.007072806358337402,0,0,False,False,False
test_0946,946,train_0945,945,0.005842685699462891,0.07643746584653854,0.9923871755599976,train_0944,944,0.9957500100135803,0.006088852882385254,0,0,False,False,False
test_0947,947,train_0947,947,0.0013550519943237305,0.03681103140115738,0.9981051087379456,train_0947,947,0.9981051087379456,0.0013550519943237305,0,0,False,False,False
test_0948,948,train_0948,948,0.0032852888107299805,0.05731743946671486,0.9948698878288269,train_0948,948,0.9948698878288269,0.0032852888107299805,0,0,False,False,False
test_0949,949,train_0950,950,0.002078115940093994,0.04558635875582695,0.9969230890274048,train_0950,950,0.9969230890274048,0.002078115940093994,0,0,False,False,False
test_0950,950,train_0950,950,0.003925800323486328,0.0626562088727951,0.9938531517982483,train_0950,950,0.9938531517982483,0.003925800323486328,0,0,False,False,False
test_0951,951,train_0952,952,0.0045784711837768555,0.06766439974308014,0.9934993982315063,train_0952,952,0.9934993982315063,0.0045784711837768555,0,0,False,False,False
test_0952,952,train_0953,953,0.0021265745162963867,0.04611479863524437,0.9967042803764343,train_0953,953,0.9967042803764343,0.0021265745162963867,0,0,False,False,False
test_0953,953,train_0955,955,0.023206591606140137,0.15233710408210754,0.9589464068412781,train_0955,955,0.9589464068412781,0.023206591606140137,1,1,False,False,False
test_0954,954,train_0954,954,0.013516724109649658,0.11626144498586655,0.9723613858222961,train_0954,954,0.9723613858222961,0.013516724109649658,1,1,False,False,False
test_0955,955,train_0959,959,0.0070885419845581055,0.08419348299503326,0.9892533421516418,train_0959,959,0.9892533421516418,0.0070885419845581055,1,1,False,False,False
test_0956,956,train_0967,967,0.008318781852722168,0.091207355260849,0.9868125915527344,train_0967,967,0.9868125915527344,0.008318781852722168,1,1,False,False,False
test_0957,957,train_0967,967,0.00931859016418457,0.09653284400701523,0.9856513142585754,train_0967,967,0.9856513142585754,0.00931859016418457,1,1,False,False,False
test_0958,958,train_0965,965,0.008325338363647461,0.09124328941106796,0.9869046807289124,train_0965,965,0.9869046807289124,0.008325338363647461,1,1,False,False,False
test_0959,959,train_0741,741,0.014712154865264893,0.12129367142915726,0.9683123230934143,train_0959,959,0.9755305647850037,0.01582813262939453,1,0,True,False,False
test_0960,960,train_0961,961,0.005261659622192383,0.07253729552030563,0.9911876320838928,train_0961,961,0.9911876320838928,0.005261659622192383,1,1,False,False,False
test_0961,961,train_0963,963,0.011087924242019653,0.105299212038517,0.9779013991355896,train_0961,961,0.9807830452919006,0.01113194227218628,1,1,False,False,False
test_0962,962,train_0962,962,0.010161519050598145,0.10080435872077942,0.9751707315444946,train_0961,961,0.9774425029754639,0.01693594455718994,1,1,False,False,False
test_0963,963,train_0961,961,0.007230937480926514,0.08503492176532745,0.9870657324790955,train_0961,961,0.9870657324790955,0.007230937480926514,1,1,False,False,False
test_0964,964,train_0964,964,0.0010779500007629395,0.03283214941620827,0.9980180859565735,train_0964,964,0.9980180859565735,0.0010779500007629395,1,1,False,False,False
test_0965,965,train_0961,961,0.00863659381866455,0.0929332748055458,0.9858964681625366,train_0961,961,0.9858964681625366,0.00863659381866455,1,1,False,False,False
test_0966,966,train_0966,966,0.005375385284423828,0.0733170211315155,0.9915131330490112,train_0966,966,0.9915131330490112,0.005375385284423828,1,1,False,False,False
test_0967,967,train_0968,968,0.0044286251068115234,0.06654791533946991,0.9921486377716064,train_0968,968,0.9921486377716064,0.0044286251068115234,1,1,False,False,False
test_0968,968,train_0959,959,0.006919741630554199,0.08318498730659485,0.9887824058532715,train_0959,959,0.9887824058532715,0.006919741630554199,1,1,False,False,False
test_0969,969,train_0970,970,0.004190921783447266,0.06473732739686966,0.9885154962539673,train_0970,970,0.9885154962539673,0.004190921783447266,0,0,False,False,False
test_0970,970,train_0971,971,0.0019880831241607666,0.04458792507648468,0.9957451820373535,train_0971,971,0.9957451820373535,0.0019880831241607666,0,0,False,False,False
test_0971,971,train_0971,971,0.0020648539066314697,0.045440662652254105,0.9960195422172546,train_0971,971,0.9960195422172546,0.0020648539066314697,0,0,False,False,False
test_0972,972,train_0973,973,0.001819521188735962,0.04265584424138069,0.9956826567649841,train_0973,973,0.9956826567649841,0.001819521188735962,0,0,False,False,False
test_0973,973,train_0973,973,0.0023303627967834473,0.048273831605911255,0.9949743151664734,train_0973,973,0.9949743151664734,0.0023303627967834473,0,0,False,False,False
test_0974,974,train_0974,974,0.004019200801849365,0.06339716911315918,0.9905716180801392,train_0974,974,0.9905716180801392,0.004019200801849365,0,0,False,False,False
test_0975,975,train_0974,974,0.006370037794113159,0.07981251925230026,0.9848542213439941,train_0974,974,0.9848542213439941,0.006370037794113159,0,0,False,False,False
test_0976,976,train_0977,977,0.002629399299621582,0.05127766728401184,0.9935827851295471,train_0977,977,0.9935827851295471,0.002629399299621582,0,0,False,False,False
test_0977,977,train_0981,981,0.009515076875686646,0.09754525870084763,0.9732581377029419,train_0981,981,0.9732581377029419,0.009515076875686646,0,0,False,False,False
test_0978,978,train_0978,978,0.004023164510726929,0.06342841684818268,0.9905223846435547,train_0978,978,0.9905223846435547,0.004023164510726929,0,0,False,False,False
test_0979,979,train_0980,980,0.0015071332454681396,0.038821812719106674,0.9960344433784485,train_0980,980,0.9960344433784485,0.0015071332454681396,0,0,False,False,False
test_0980,980,train_0981,981,0.0011799633502960205,0.034350596368312836,0.9958496689796448,train_0981,981,0.9958496689796448,0.0011799633502960205,0,0,False,False,False
test_0981,981,train_0982,982,0.009933501482009888,0.09966695308685303,0.9767712354660034,train_0982,982,0.9767712354660034,0.009933501482009888,0,0,False,False,False
test_0982,982,train_0972,972,0.00631183385848999,0.07944705337285995,0.9848056435585022,train_0972,972,0.9848056435585022,0.00631183385848999,0,0,False,False,False
test_0983,983,train_0986,986,0.005282580852508545,0.07268136739730835,0.9818869829177856,train_0984,984,0.9828534126281738,0.009645700454711914,1,1,False,False,False
test_0984,984,train_0985,985,0.012443602085113525,0.11155089735984802,0.9731965661048889,train_0985,985,0.9731965661048889,0.012443602085113525,1,1,False,False,False
test_0985,985,train_0860,860,0.010088741779327393,0.10044272989034653,0.9698157906532288,train_0860,860,0.9698157906532288,0.010088741779327393,1,1,False,False,False
test_0986,986,train_1123,1123,0.012413084506988525,0.11141402274370193,0.9762702584266663,train_0986,986,0.9837990999221802,0.023341834545135498,1,0,True,False,False
test_0987,987,train_0988,988,0.01616036891937256,0.12712344527244568,0.9725843667984009,train_0988,988,0.9725843667984009,0.01616036891937256,0,0,False,False,False
test_0988,988,train_0988,988,0.007549107074737549,0.08688560128211975,0.9872812628746033,train_0988,988,0.9872812628746033,0.007549107074737549,0,0,False,False,False
test_0989,989,train_0989,989,0.0024657249450683594,0.04965606704354286,0.9954922795295715,train_0989,989,0.9954922795295715,0.0024657249450683594,0,0,False,False,False
test_0990,990,train_0991,991,0.004435449838638306,0.06659917533397675,0.9916618466377258,train_0991,991,0.9916618466377258,0.004435449838638306,0,0,False,False,False
test_0991,991,train_0992,992,0.005301296710968018,0.07281000167131424,0.9918541312217712,train_0992,992,0.9918541312217712,0.005301296710968018,0,0,False,False,False
test_0992,992,train_0994,994,0.005532026290893555,0.07437759637832642,0.9931531548500061,train_0994,994,0.9931531548500061,0.005532026290893555,0,0,False,False,False
test_0993,993,train_0994,994,0.0012722015380859375,0.03566793352365494,0.997059166431427,train_0994,994,0.997059166431427,0.0012722015380859375,0,0,False,False,False
test_0994,994,train_0996,996,0.0040177106857299805,0.06338541209697723,0.9933966398239136,train_0996,996,0.9933966398239136,0.0040177106857299805,0,0,False,False,False
test_0995,995,train_0996,996,0.005070805549621582,0.07120958715677261,0.9911794662475586,train_0996,996,0.9911794662475586,0.005070805549621582,0,0,False,False,False
test_0996,996,train_0996,996,0.006439387798309326,0.08024579286575317,0.9883728623390198,train_0996,996,0.9883728623390198,0.006439387798309326,0,0,False,False,False
test_0997,997,train_1002,1002,0.010976135730743408,0.10476705431938171,0.9777382016181946,train_1002,1002,0.9777382016181946,0.010976135730743408,1,1,False,False,False
test_0998,998,train_1004,1004,0.005655884742736816,0.07520561665296555,0.9858930706977844,train_1004,1004,0.9858930706977844,0.005655884742736816,1,1,False,False,False
test_0999,999,train_0227,227,0.0321541428565979,0.17931576073169708,0.9491596221923828,train_0227,227,0.9491596221923828,0.0321541428565979,1,1,False,False,False
test_1000,1000,train_1003,1003,0.010288536548614502,0.1014324203133583,0.9740137457847595,train_1003,1003,0.9740137457847595,0.010288536548614502,1,1,False,False,False
test_1001,1001,train_1001,1001,0.006358802318572998,0.07974209636449814,0.9784116148948669,train_1001,1001,0.9784116148948669,0.006358802318572998,1,1,False,False,False
test_1002,1002,train_1002,1002,0.006779074668884277,0.08233513683080673,0.9863293766975403,train_1002,1002,0.9863293766975403,0.006779074668884277,1,1,False,False,False
test_1003,1003,train_1004,1004,0.007287710905075073,0.0853680893778801,0.9808379411697388,train_1005,1005,0.9836198687553406,0.010959804058074951,1,1,False,False,False
test_1004,1004,train_1005,1005,0.0035638809204101562,0.05969825014472008,0.9931954741477966,train_1005,1005,0.9931954741477966,0.0035638809204101562,1,1,False,False,False
test_1005,1005,train_1007,1007,0.01007792353630066,0.10038886219263077,0.9774417877197266,train_0594,594,0.9804450869560242,0.011583507061004639,0,0,False,False,False
test_1006,1006,train_1006,1006,0.003612726926803589,0.06010596454143524,0.9912595152854919,train_1006,1006,0.9912595152854919,0.003612726926803589,0,0,False,False,False
test_1007,1007,train_1010,1010,0.003249228000640869,0.057002000510692596,0.9908493757247925,train_1008,1008,0.9912503361701965,0.0033221542835235596,0,0,False,False,False
test_1008,1008,train_1010,1010,0.0029389560222625732,0.054212138056755066,0.9913747310638428,train_1010,1010,0.9913747310638428,0.0029389560222625732,0,0,False,False,False
