flat_pixel_index,mean_pixel_evidence_drop,mean_pixel_evidence_drop_class0,mean_pixel_evidence_drop_class1
266,0.0005146369803696871,-0.00022777062258683145,0.0015249700518324971
267,8.704676474735606e-06,6.341934295051033e-06,1.19200949484366e-05
268,3.604472794904723e-06,-0.00039193761767819524,0.0005418926011770964
269,-0.00013223641144577414,-0.00034635906922630966,0.00015916029224172235
270,0.00018168616225011647,0.0011480507673695683,-0.001133427140302956
271,-8.888661977835e-05,0.000278161111054942,-0.0005883970879949629
272,0.0001934121100930497,0.00027050875360146165,8.849227015161887e-05
273,-6.156617746455595e-05,8.400237129535526e-05,-0.0002596685371827334
274,-0.0003066903736907989,-0.0004927150439471006,-5.353165397536941e-05
275,-9.363436402054504e-05,-3.591705171857029e-05,-0.00017218109860550612
276,0.0001362859911751002,-6.116239819675684e-05,0.00040499091846868396
277,0.0002745925448834896,0.00015964887279551476,0.0004310179501771927
278,0.0007808867376297712,-8.834176696836948e-05,0.0019638086669147015
279,0.0002094382798532024,-0.0006098753656260669,0.0013244315050542355
280,-0.00010257543181069195,5.838190918439068e-05,-0.0003216202894691378
281,0.00012043929018545896,0.0010333674727007747,-0.001121952780522406
282,1.2910408258903772e-05,1.2502493518695701e-05,1.346553472103551e-05
283,0.00016847325605340302,0.00037444449844770133,-0.0001118303625844419
284,1.5402325516333804e-05,-8.77035126904957e-05,0.0001557177456561476
285,0.00011115809320472181,0.00021765593555755913,-3.377344546606764e-05
286,5.944136864854954e-05,0.00015285932749975473,-6.768990715499967e-05
287,4.939138671034016e-05,-0.00013899803161621094,0.00030576810240745544
288,3.42249077220913e-05,0.0002767942496575415,-0.00029588458710350096
289,0.00011498568346723914,-0.00014776441093999892,0.00047255889512598515
290,0.00018298215582035482,0.0008518652757629752,-0.0007272921502590179
291,0.00045275871525518596,-0.00026654102839529514,0.0014316444285213947
292,0.00020076030341442674,-0.00017606938490644097,0.0007135830237530172
293,6.728808511979878e-05,-7.283042941708118e-05,0.0002579735592007637
294,0.0004803221090696752,-0.0001450827403459698,0.0013314270181581378
295,0.0003384572046343237,0.0003358376561664045,0.0003420222783461213
296,0.0001700750581221655,-0.0001027303296723403,0.0005413324106484652
297,0.00012009217607555911,0.00022387584613170475,-2.114567905664444e-05
298,0.0002407386346021667,-0.00021494370594155043,0.0008608708740212023
299,0.00034371280344203115,-0.0004865449445787817,0.0014736001612618566
300,-3.444392132223584e-05,0.00016923074144870043,-0.0003116221050731838
301,-0.00010382989421486855,0.0004823263443540782,-0.0009015222894959152
302,-8.656502905068919e-05,0.0005420410889200866,-0.000942027079872787
303,0.00012521978351287544,0.0002083833096548915,1.204361342388438e-05
304,0.00016341215814463794,-0.0002376053889747709,0.0007091517909429967
305,2.5032741177710705e-06,0.00025998865021392703,-0.000347905297530815
306,-6.963952910155058e-05,0.00010238824324915186,-0.0003037498681806028
307,6.171441054902971e-05,-0.0003737940569408238,0.0006543923518620431
308,0.0006201288779266179,-0.0006087492220103741,0.002292493125423789
309,0.000578556617256254,-5.6064305681502447e-05,0.001442203763872385
310,0.0006695556221529841,-0.00011389502469683066,0.001735744415782392
311,-1.999988489842508e-05,2.435737224004697e-05,-8.036507642827928e-05
312,0.00032680752337910235,0.0005123052978888154,7.436609303113073e-05
313,0.00017775407468434423,0.00011536032980075106,0.00026266492204740644
314,-7.518466736655682e-05,-0.00035524502163752913,0.0003059457812923938
315,-2.7261648938292637e-06,-0.00042596878483891487,0.0005732592544518411
316,0.0005289773689582944,0.001189507427625358,-0.0003699295630212873
317,2.467394369887188e-05,0.00034335791133344173,-0.00040901891770772636
318,0.0004842992057092488,0.0013972261222079396,-0.0007580912206321955
319,7.476151222363114e-05,5.634740591631271e-05,9.982103802030906e-05
